# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:10:46 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./data_pLUVs_POPC_OmpLA_PL600.dat
save-folder:	RES_POPC-PLUV600_01
qrange:	[0.005, 0.6]
model:	pLUV_POPC_OmpLA_RecBuf
temperature-init:	400
temperature-gain:	50
target-X2:	2.0
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	monomer
# -----------------------------------
q	I_data	I_err	I_fit
0.165827	5463.62	85.041	5331.244732518741
0.166352	5160.26	84.2555	5287.522949762604
0.166878	5246.17	84.7432	5243.653304167466
0.167403	5296.88	84.254	5199.810120473232
0.167928	5190.04	83.9594	5155.917519344127
0.168454	5227.65	83.7394	5111.8991987313975
0.168979	5051.89	83.941	5067.929910961086
0.169505	5140.34	83.9722	5023.849505321565
0.17003	5104.78	82.7498	4979.832869280243
0.170555	4985.52	83.3688	4935.803440277261
0.171081	4939.14	82.4573	4891.684503356941
0.171606	5028.2	83.0212	4847.650928257433
0.172131	4798.06	82.308	4803.625889639823
0.172657	4800.18	81.5866	4759.532567479458
0.173182	4839.48	82.6654	4715.545555284889
0.173707	4715.42	82.6367	4671.587873132018
0.174233	4694.69	84.7418	4627.582700370377
0.174758	4664.79	84.2	4583.704102905648
0.175283	4576.71	84.1494	4539.875052401712
0.175809	4615.27	84.3337	4496.018829697565
0.176334	4538.91	84.0803	4452.308729326446
0.176859	4528.87	84.9245	4408.6677784661215
0.177385	4399.34	83.9744	4365.019459027839
0.17791	4432.23	84.2926	4321.536058444981
0.178435	4415.78	85.0515	4278.140760875099
0.178961	4321.95	83.6833	4234.757346161289
0.179486	4299.32	83.4731	4191.556867351982
0.180012	4190.2	81.186	4148.380785678259
0.180537	4218.96	81.5209	4105.399209014774
0.181062	4110.16	81.1037	4062.5358014039757
0.181588	4078.64	80.3906	4019.715046640876
0.182113	4066.27	80.7251	3977.1054590883537
0.182638	4058.08	79.3059	3934.6311168698267
0.183164	3969.75	80.1797	3892.2170454109523
0.183689	3977.61	79.4138	3850.0299624566264
0.184214	3976.95	79.1226	3807.994451062709
0.18474	3847.35	79.3397	3766.036163755426
0.185265	3675.15	78.3195	3724.3198281369564
